country,continent,edu_spend_gdp_pct,upper_secondary_completion_pct,adolescent_birth_rate,population_millions
Afghanistan,Asia,4.34319019317627,26.6958408355713,62.0,41.454761
Albania,Other,2.74931001663208,60.4131393432617,11.8,2.811655
Algeria,Other,6.29899978637695,46.474048614502,11.0,46.164218999999996
Andorra,Other,2.66622996330261,,0.5,0.080856
Angola,Other,2.33200001716614,18.7457809448242,162.7,36.749906
Anguilla,Other,,,37.2,0.014410000000000001
Antigua and Barbuda,Other,3.64800000190735,88.7220687866211,32.5,0.093316
Argentina,Other,4.6476001739502,64.3,27.8,45.538401
Armenia,Asia,2.49326992034912,77.99,12.8,2.943393
Australia,Other,5.20677661895752,90.31,6.8,26.451124
Austria,Other,4.77447128295898,85.32,4.2,9.130429
Azerbaijan,Asia,2.90400004386902,74.9523468017578,37.3,10.318207000000001
Bahamas,Other,3.08599996566772,,26.4,0.39944
Bahrain,Asia,1.98699998855591,,8.6,1.569666
Bangladesh,Asia,2.05100011825562,29.3627395629883,68.0,171.46698999999998
Barbados,Other,5.12599992752075,94.1884384155273,47.6,0.28233600000000003
Belarus,Other,5.18737077713013,90.3813400268555,11.7,9.115680000000001
Belgium,Other,6.21000003814697,88.11,4.5,11.712893
Belize,Other,5.0019998550415,45.0341987609863,51.2,0.41110599999999997
Benin,Other,3.21099996566772,12.5158996582031,83.8,14.111034
Bhutan,Asia,8.14200019836426,20.9794597625732,10.4,0.786385
Bolivia (Plurinational State of),Other,7.7407398223877,81.87,71.0,12.244159
Bosnia and Herzegovina,Other,,93.0600662231445,9.7,3.185073
Botswana,Other,8.05799961090088,53.923210144043,50.2,2.4802440000000003
Brazil,Other,5.77150011062622,73.53,42.6,211.140729
British Virgin Islands,Other,2.86999988555908,,27.4,0.038985
Brunei Darussalam,Asia,4.42540979385376,,9.0,0.458949
Bulgaria,Other,4.29007482528687,86.97,38.7,6.795803
Burkina Faso,Other,5.27699995040894,16.2026996612549,92.9,23.025776
Burundi,Other,4.82100009918213,7.16315984725952,58.2,13.68945
Cabo Verde,Other,6.03800010681152,55.6475715637207,40.0,0.522331
Cambodia,Asia,1.6710000038147,26.6529903411865,48.0,17.42388
Cameroon,Other,2.61800003051758,22.9787693023682,105.3,28.372687000000003
Canada,Other,4.13957166671753,93.95,4.9,39.299105000000004
Central African Republic,Other,2.11500000953674,5.58253002166748,184.4,5.152421
Chad,Other,2.53900003433228,4.52022981643677,138.4,19.319063999999997
Chile,Other,4.03999996185303,92.75,15.6,19.658835
China,Asia,3.29838752746582,74.9941329956055,6.1,1422.5849329999999
Colombia,Other,3.92000007629395,74.88,47.2,52.321152000000005
Comoros,Other,2.43199992179871,36.8156509399414,74.4,0.8503869999999999
Congo,Other,2.95199990272522,23.0888004302979,111.3,6.182885000000001
Cook Islands,Other,,,28.3,0.014222
Costa Rica,Other,6.28171014785767,77.75,26.3,5.105524999999999
Côte d'Ivoire,Other,3.51972007751465,17.4683399200439,96.0,31.165654
Croatia,Other,5.20045328140259,97.45,6.7,3.896023
Cuba,Other,9.38599967956543,65.2816925048828,47.4,11.019931
Cyprus,Asia,5.48318195343018,88.66,6.4,1.3449760000000002
Czechia,Other,5.05000019073486,,7.2,10.809716
Democratic People's Republic of Korea,Other,,,0.6,26.418204000000003
Democratic Republic of the Congo,Other,3.00300002098083,31.1364994049072,109.0,105.789731
Denmark,Other,5.92999982833862,77.9,1.2,5.948136000000001
Djibouti,Other,3.75143003463745,39.7577209472656,21.0,1.152944
Dominica,Other,4.65700006484985,76.8521575927734,49.8,0.06651
Dominican Republic,Other,3.94000005722046,65.55,77.1,11.331265
Ecuador,Other,3.64703989028931,80.48,51.6,17.980083
Egypt,Other,3.93084812164307,76.06,50.0,114.535772
El Salvador,Other,4.5310001373291,62.64,50.1,6.3096239999999995
Equatorial Guinea,Other,,5.43,176.0,1.8475489999999999
Eritrea,Other,,,76.0,3.47039
Estonia,Other,5.90999984741211,85.77,5.7,1.3671959999999999
Eswatini,Other,6.31300020217896,36.6406784057617,87.0,1.230506
Ethiopia,Other,3.73600006103516,15.5432796478272,72.4,128.691692
Fiji,Other,5.97499990463257,54.5657501220703,31.0,0.924145
Finland,Other,5.71000003814697,90.22,3.3,5.601185
France,Other,5.23999977111816,91.44,6.4,66.438822
Gabon,Other,2.20799994468689,21.7880096435547,100.1,2.484789
Gambia,Other,2.7279999256134,28.7977600097656,64.8,2.6978449999999996
Georgia,Asia,3.81284999847412,77.2731170654297,21.9,3.8074920000000003
Germany,Other,4.54389047622681,78.37,5.9,84.548231
Ghana,Other,2.90499997138977,47.6772613525391,63.0,33.787913999999994
Greece,Other,4.09000015258789,93.06,7.4,10.242908
Grenada,Other,3.93499994277954,,30.1,0.117081
Guatemala,Other,3.22940993309021,25.6493492126465,65.2,18.124838
Guinea,Other,1.98599994182587,16.3962707519531,127.6,14.405468
Guinea-Bissau,Other,,19.19,84.5,2.153339
Guyana,Other,4.45058012008667,61.7521286010742,64.9,0.826353
Haiti,Other,1.02699995040894,16.4076099395752,54.8,11.637398
Holy See,Other,,,,0.000496
Honduras,Other,4.44199991226196,42.43,97.0,10.644851000000001
Hungary,Other,5.01000022888184,84.25,18.9,9.686463
Iceland,Other,7.13966512680054,,3.2,0.387558
India,Asia,4.63500022888184,50.6323509216309,11.3,1438.0695959999998
Indonesia,Asia,2.42012596130371,63.1106986999512,36.1,281.190067
Iran (Islamic Republic of),Asia,2.6699800491333,,23.8,90.608707
Iraq,Asia,,32.1276817321777,70.0,45.074049
Ireland,Other,2.9300000667572,,4.4,5.19663
Israel,Asia,6.46000003814697,,6.7,9.256314
Italy,Other,4.01999998092651,84.62,2.9,59.499453
Jamaica,Other,5.65500020980835,87.2332229614258,35.9,2.839786
Japan,Asia,3.46000003814697,,2.0,124.370947
Jordan,Asia,3.24026989936829,56.73046875,17.0,11.439213
Kazakhstan,Asia,4.20499992370605,97.609489440918,19.7,20.330104
Kenya,Other,4.62815570831299,58.862491607666,43.8,55.339003
Kiribati,Other,16.582462310791,16.726770401001,50.6,0.13253
Kuwait,Asia,,,2.1,4.838782
Kyrgyzstan,Asia,7.95900011062622,83.3573989868164,30.0,7.073516
Lao People's Democratic Republic,Other,1.39400005340576,31.0896492004394,83.3,7.664993000000001
Latvia,Other,5.61999988555908,90.7,8.8,1.882396
Lebanon,Asia,1.66999995708466,,16.7,5.773493
Lesotho,Other,6.69199991226196,31.8659591674805,49.1,2.311472
Liberia,Other,2.41700005531311,19.42160987854,130.8,5.493031
Libya,Other,,,10.9,7.3056589999999995
Liechtenstein,Other,,,1.0,0.039598
Lithuania,Other,4.75,91.35,6.2,2.854099
Luxembourg,Other,4.70302200317383,78.79,2.8,0.665098
Madagascar,Other,3.13899993896484,14.0373697280884,143.0,31.195932
Malawi,Other,3.32295989990234,15.4821195602417,135.6,21.104482
Malaysia,Asia,3.50600004196167,,6.0,35.126298000000006
Maldives,Asia,4.58099985122681,40.2603492736816,5.1,0.5259940000000001
Mali,Other,4.03499984741211,7.51,144.8,23.769127
Malta,Other,5.40380144119263,,10.3,0.532956
Marshall Islands,Other,6.97757005691528,,88.8,0.038827
Mauritania,Other,2.28800010681152,15.124059677124,89.6,5.022441
Mauritius,Other,3.64299988746643,69.4915313720703,19.9,1.273588
Mexico,Other,4.62572002410889,64.08,44.1,129.739759
Micronesia (Federated States of),Other,10.5389995574951,,33.0,0.11263
Monaco,Other,1.4237300157547,,,0.038956000000000005
Mongolia,Asia,4.25799989700317,77.2886962890625,21.1,3.4319319999999998
Montenegro,Other,,86.2450790405273,8.6,0.633552
Montserrat,Other,,,12.3,0.00442
Morocco,Other,5.76800012588501,14.5050497055054,21.7,37.712505
Mozambique,Other,7.02799987792969,17.7609996795654,158.0,33.635160000000006
Myanmar,Asia,2.13986992835999,16.7996196746826,36.5,54.133798000000006
Namibia,Other,9.04500007629395,30.06,63.9,2.9630949999999996
Nauru,Other,6.18900012969971,,56.1,0.011875
Nepal,Asia,3.6489999294281,35.8999481201172,71.2,29.694614
Netherlands (Kingdom of the),Other,5.05000019073486,,2.0,18.092524
New Zealand,Other,5.50567865371704,,11.1,5.172836
Nicaragua,Other,4.08699989318848,41.31,79.4,6.823613
Niger,Other,4.10099983215332,1.5825400352478,150.3,26.159867
Nigeria,Other,,53.7059783935547,74.6,227.882945
Niue,Other,,,0.0,0.001817
North Macedonia,Other,,83.0127487182617,14.1,1.831802
Norway,Other,3.97000002861023,81.35,1.4,5.519167
Oman,Asia,4.19907999038696,,5.9,5.049269000000001
Pakistan,Asia,1.68700003623962,23.4392395019531,41.0,247.504495
Palau,Other,,,34.5,0.017727
Panama,Other,3.88700008392334,73.73,61.7,4.458759
Papua New Guinea,Other,1.8748300075531,16.8918895721436,67.7,10.389635
Paraguay,Other,3.41496992111206,73.26,72.0,6.844145999999999
Peru,Other,3.89409995079041,89.08,33.7,33.845617
Philippines,Asia,3.57999992370605,67.008659362793,47.0,114.891199
Poland,Other,4.92000007629395,93.95,6.0,38.762843999999994
Portugal,Other,4.6100001335144,89.87,5.8,10.430738
Qatar,Asia,3.2336699962616,83.4878311157227,4.7,2.979082
Republic of Korea,Asia,5.40000009536743,97.65,0.4,51.748739
Republic of Moldova,Other,6.14757013320923,64.5971908569336,27.3,3.06707
Romania,Other,3.2530517578125,83.83,33.9,19.118479
Russian Federation,Other,3.70146751403809,90.08,13.4,145.4405
Rwanda,Other,4.14499998092651,20.6956005096436,31.3,13.954471
Saint Kitts and Nevis,Other,3.63100004196167,,74.1,0.046758
Saint Lucia,Other,4.19757986068726,82.6917495727539,24.0,0.179285
Saint Vincent and the Grenadines,Other,5.46400022506714,,37.1,0.101323
Samoa,Other,4.48099994659424,56.9835395812988,54.9,0.21666300000000002
San Marino,Other,3.10892009735107,,1.2,0.033733
Sao Tome and Principe,Other,5.1560001373291,32.18,86.1,0.23087100000000002
Saudi Arabia,Asia,,,8.3,33.264292000000005
Senegal,Other,5.64099979400635,10.5015096664429,67.4,18.077573
Serbia,Other,3.29965996742249,83.3758087158203,13.4,6.773201
Seychelles,Other,4.73999977111816,,46.0,0.12795099999999998
Sierra Leone,Other,8.8063497543335,19.6188907623291,101.9,8.460512000000001
Singapore,Asia,2.38899993896484,,2.7,5.78909
Slovakia,Other,4.26000022888184,,26.0,5.518055
Slovenia,Other,5.65999984741211,95.21,3.4,2.118396
Solomon Islands,Other,,,78.0,0.800005
Somalia,Other,0.270661741495132,9.22,115.7,18.358615
South Africa,Other,6.60400009155273,63.2065086364746,71.1,63.212384
South Sudan,Other,1.46555995941162,5.5146598815918,158.1,11.483374
Spain,Other,4.55000019073486,75.62,4.6,47.911578999999996
Sri Lanka,Asia,1.20000004768372,46.3046607971191,16.5,22.971617
State of Palestine,Asia,5.43442010879517,62.4753189086914,42.8,5.4092020000000005
Sudan,Other,,30.6752109527588,86.8,50.042790999999994
Suriname,Other,3.80599999427795,23.3624897003174,45.9,0.628886
Sweden,Other,6.65000009536743,81.45,2.0,10.551494
Switzerland,Other,5.6100001335144,92.69,1.4,8.870561
Syrian Arab Republic,Asia,,28.4966793060303,54.0,23.594623
Tajikistan,Asia,5.44700002670288,71.63,41.8,10.389799
Thailand,Asia,2.61299991607666,71.0520095825195,23.5,71.702435
Timor-Leste,Asia,2.97399997711182,51.9626884460449,41.9,1.3842860000000001
Togo,Other,3.79800009727478,21.2734107971191,79.0,9.304337
Tokelau,Other,,,17.5,0.002397
Tonga,Other,5.64599990844727,83.8,30.0,0.104597
Trinidad and Tobago,Other,2.88000011444092,79.9067916870117,36.0,1.502932
Tunisia,Other,6.22044992446899,35.6270904541016,4.0,12.200431
Türkiye,Asia,2.61520981788635,64.25,12.0,87.27050100000001
Turkmenistan,Asia,3.77977991104126,15.73,22.4,7.364438
Turks and Caicos Islands,Other,3.28576993942261,97.6889419555664,17.6,0.046198
Tuvalu,Other,,55.4542999267578,43.8,0.009816
Uganda,Other,2.55200004577637,15.68,111.4,48.656601
Ukraine,Other,5.93389987945557,95.2871704101562,12.6,37.732836000000006
United Arab Emirates,Asia,3.89549994468689,,3.0,10.642081000000001
United Kingdom,Other,5.40000009536743,84.47,8.3,68.682962
United Republic of Tanzania,Other,3.25999999046326,8.93653011322021,112.2,66.617606
United States,Other,5.44000005722046,94.5792999267578,13.5,343.47733500000004
Uruguay,Other,4.36999988555908,49.24,26.8,3.388081
Uzbekistan,Asia,5.28399991989136,95.0010223388672,36.1,35.652307
Vanuatu,Other,2.17358994483948,7.11234998703003,81.0,0.320409
Venezuela (Bolivarian Republic of),Other,,70.07,76.1,28.300854
Viet Nam,Asia,2.89800000190735,57.8889198303223,29.0,100.352192
Yemen,Asia,,36.5667381286621,77.0,39.390799
Zambia,Other,3.58299994468689,28.1542301177979,134.6,20.723965
Zimbabwe,Other,2.05048990249634,13.9688997268677,86.8,16.340822
SUMMARY,Other,,,,
East Asia and Pacific,Other,3.402193784713745,69.21297066349632,14.6,2363.3931970000003
Europe and Central Asia,Other,4.96000003814697,,11.8,930.052535
   Eastern Europe and Central Asia,Other,,79.28888149702955,18.3,425.55143
   Western Europe,Other,,85.04702798721824,5.3,504.501105
Latin America and the Caribbean,Other,3.89409995079041,68.07109452041068,51.4,654.0567460000001
Middle East and North Africa,Other,3.558979988098145,48.41703510293431,34.8,506.808156
North America,Other,,94.52629471483496,12.4,382.77643900000004
South Asia,Other,1.97300004959106,43.75123806689606,26.1,1952.474453
Sub-Saharan Africa,Other,,,93.3,1261.076023
   Eastern and Southern Africa,Other,4.2441201210022,26.87452156553137,89.9,645.65683
   West and Central Africa,Other,2.928499937057495,33.86168698603703,96.9,615.4191940000001
Least developed countries,Other,,,90.6,1161.05555
World,Other,3.72912001609802,53.1647647878037,39.1,8091.73493
"For a complete list of countries and areas in the regions, subregions and country categories, see page on Regional Classifications or visit <https://data.unicef.org/regionalclassifications>.",Other,,,,
It is not advisable to compare data from consecutive editions of The State of the World’s Children report.,Other,,,,
"While it is possible to analyze the impacts of government revenue and expenditure data on gender equality, there are insufficient data points available to present.",Other,,,,
NOTES,Other,,,,
- Data not available.,Other,,,,
R Data refer to the most recent year available during the period specified in the column heading.,Other,,,,
DEFINITIONS OF THE INDICATORS,Other,,,,
"Government revenue as percentage of GDP – Revenue is cash receipts from taxes, social contributions, and other revenues such as fines, fees, rent, and income from property or sales. Grants are also considered as revenue but are excluded here.",Other,,,,
"Government expenditure – General government final consumption expenditure (formerly general government consumption) includes all government current expenditures for purchases of goods and services (including compensation of employees). It also includes most expenditures on national defence and security, but excludes government military expenditures that are part of government capital formation.",Other,,,,
"Government expenditure expressed as a percentage of GDP – Total government expenditure as well as the specific expenditures on health, education and social protection.",Other,,,,
"Government expenditure expressed as a percentage of Total government expenditure – Specific expenditures on health, education and social protection.",Other,,,,
"ODA (Net official development assistance) – Official development assistance flows are defined as those flows to countries and territories on the DAC List of ODA Recipients and to multilateral development institutions which are: (a) provided by official agencies, including state and local governments, or by their executive agencies; (b) each transaction of which is administered with the promotion of the economic development and welfare of developing countries as its main objective; and (c) is concessional in character.",Other,,,,
ODA (Net official development assistance) for donor countries – Expressed as an outflow of resources (in US$ and as percentage of Gross National Income).,Other,,,,
ODA (Net official development assistance) for recipient countries – Expressed as an intflow of resources (in US$ and as percentage of Gross National Income).,Other,,,,
MAIN DATA SOURCES,Other,,,,
ODA – Organisation for Economic Co-operation and Development. Last update: September 2023.,Other,,,,
Government revenue as percentage of GDP – World Development Indicators. Last update: May 2024.,Other,,,,
Government Expenditure – World Development Indicators. Last update: April 2024.,Other,,,,
